Länge Kelchblatt,Länge Kronblatt,Gattung
5.1,1.4,Setosa
4.9,1.4,Setosa
4.7,1.3,Setosa
4.6,1.5,Setosa
5,1.4,Setosa
5.4,1.7,Setosa
4.6,1.4,Setosa
5,1.5,Setosa
4.4,1.4,Setosa
4.9,1.5,Setosa
5.4,1.5,Setosa
4.8,1.6,Setosa
4.8,1.4,Setosa
4.3,1.1,Setosa
5.8,1.2,Setosa
5.7,1.5,Setosa
5.4,1.3,Setosa
5.1,1.4,Setosa
5.7,1.7,Setosa
5.1,1.5,Setosa
5.4,1.7,Setosa
5.1,1.5,Setosa
4.6,1,Setosa
5.1,1.7,Setosa
4.8,1.9,Setosa
5,1.6,Setosa
5,1.6,Setosa
5.2,1.5,Setosa
5.2,1.4,Setosa
4.7,1.6,Setosa
4.8,1.6,Setosa
5.4,1.5,Setosa
5.2,1.5,Setosa
5.5,1.4,Setosa
4.9,1.5,Setosa
5,1.2,Setosa
5.5,1.3,Setosa
4.9,1.4,Setosa
4.4,1.3,Setosa
5.1,1.5,Setosa
5,1.3,Setosa
4.5,1.3,Setosa
4.4,1.3,Setosa
5,1.6,Setosa
5.1,1.9,Setosa
4.8,1.4,Setosa
5.1,1.6,Setosa
4.6,1.4,Setosa
5.3,1.5,Setosa
5,1.4,Setosa
7,4.7,Versicolor
6.4,4.5,Versicolor
6.9,4.9,Versicolor
5.5,4,Versicolor
6.5,4.6,Versicolor
5.7,4.5,Versicolor
6.3,4.7,Versicolor
4.9,3.3,Versicolor
6.6,4.6,Versicolor
5.2,3.9,Versicolor
5,3.5,Versicolor
5.9,4.2,Versicolor
6,4,Versicolor
6.1,4.7,Versicolor
5.6,3.6,Versicolor
6.7,4.4,Versicolor
5.6,4.5,Versicolor
5.8,4.1,Versicolor
6.2,4.5,Versicolor
5.6,3.9,Versicolor
5.9,4.8,Versicolor
6.1,4,Versicolor
6.3,4.9,Versicolor
6.1,4.7,Versicolor
6.4,4.3,Versicolor
6.6,4.4,Versicolor
6.8,4.8,Versicolor
6.7,5,Versicolor
6,4.5,Versicolor
5.7,3.5,Versicolor
5.5,3.8,Versicolor
5.5,3.7,Versicolor
5.8,3.9,Versicolor
6,5.1,Versicolor
5.4,4.5,Versicolor
6,4.5,Versicolor
6.7,4.7,Versicolor
6.3,4.4,Versicolor
5.6,4.1,Versicolor
5.5,4,Versicolor
5.5,4.4,Versicolor
6.1,4.6,Versicolor
5.8,4,Versicolor
5,3.3,Versicolor
5.6,4.2,Versicolor
5.7,4.2,Versicolor
5.7,4.2,Versicolor
6.2,4.3,Versicolor
5.1,3,Versicolor
5.7,4.1,Versicolor
6.3,6,Virginica
5.8,5.1,Virginica
7.1,5.9,Virginica
6.3,5.6,Virginica
6.5,5.8,Virginica
7.6,6.6,Virginica
4.9,4.5,Virginica
7.3,6.3,Virginica
6.7,5.8,Virginica
7.2,6.1,Virginica
6.5,5.1,Virginica
6.4,5.3,Virginica
6.8,5.5,Virginica
5.7,5,Virginica
5.8,5.1,Virginica
6.4,5.3,Virginica
6.5,5.5,Virginica
7.7,6.7,Virginica
7.7,6.9,Virginica
6,5,Virginica
6.9,5.7,Virginica
5.6,4.9,Virginica
7.7,6.7,Virginica
6.3,4.9,Virginica
6.7,5.7,Virginica
7.2,6,Virginica
6.2,4.8,Virginica
6.1,4.9,Virginica
6.4,5.6,Virginica
7.2,5.8,Virginica
7.4,6.1,Virginica
7.9,6.4,Virginica
6.4,5.6,Virginica
6.3,5.1,Virginica
6.1,5.6,Virginica
7.7,6.1,Virginica
6.3,5.6,Virginica
6.4,5.5,Virginica
6,4.8,Virginica
6.9,5.4,Virginica
6.7,5.6,Virginica
6.9,5.1,Virginica
5.8,5.1,Virginica
6.8,5.9,Virginica
6.7,5.7,Virginica
6.7,5.2,Virginica
6.3,5,Virginica
6.5,5.2,Virginica
6.2,5.4,Virginica
5.9,5.1,Virginica
